order_id,date,customer_id,employee_id
1,1970-06-10,45,11
2,1970-06-28,7,2
3,1970-10-28,34,5
4,1970-11-03,36,20
5,1971-03-14,27,14
6,1971-07-28,27,14
7,1971-08-04,71,5
8,1971-10-21,73,11
9,1971-12-28,96,16
10,1972-04-04,45,16
11,1972-06-23,51,13
12,1972-07-17,81,19
13,1973-01-21,95,17
14,1973-02-14,72,10
15,1973-12-09,55,17
16,1973-12-14,58,8
17,1974-01-08,66,7
18,1974-03-18,31,18
19,1974-03-25,70,19
20,1974-05-25,72,12
21,1974-06-25,93,1
22,1974-08-24,81,2
23,1974-09-21,86,11
24,1975-01-12,16,16
25,1975-02-05,43,8
26,1975-02-09,30,7
27,1975-02-18,41,19
28,1975-03-24,48,13
29,1975-04-07,85,14
30,1975-06-20,32,1
31,1975-07-10,39,15
32,1976-04-03,63,12
33,1976-10-01,56,3
34,1977-06-19,46,17
35,1977-08-18,49,8
36,1978-04-22,36,19
37,1978-05-11,62,18
38,1978-05-31,94,17
39,1979-02-20,48,16
40,1979-09-07,97,1
41,1979-10-02,100,11
42,1979-11-27,79,18
43,1979-12-01,13,1
44,1980-04-01,9,1
45,1980-04-03,45,1
46,1980-06-01,47,10
47,1980-07-18,97,9
48,1980-08-01,76,17
49,1980-09-05,25,7
50,1980-11-26,32,3
51,1981-02-25,15,16
52,1981-04-18,69,9
53,1981-04-18,64,14
54,1981-05-16,8,3
55,1981-06-27,62,4
56,1981-08-18,38,19
57,1981-12-13,35,15
58,1982-01-01,65,9
59,1982-01-03,87,15
60,1982-07-23,13,19
61,1982-07-24,29,5
62,1982-09-04,39,5
63,1983-05-22,2,17
64,1983-06-14,92,11
65,1983-10-27,18,6
66,1984-04-24,19,15
67,1984-07-15,50,2
68,1984-12-05,68,13
69,1986-04-05,45,10
70,1986-06-03,34,3
71,1986-06-06,11,13
72,1986-06-27,23,19
73,1986-11-14,16,10
74,1986-12-25,74,9
75,1987-01-03,21,2
76,1987-01-22,34,4
77,1987-02-23,85,19
78,1987-03-28,48,6
79,1987-06-18,46,6
80,1987-11-02,89,13
81,1988-09-11,100,6
82,1988-12-26,10,20
83,1989-10-21,49,5
84,1990-04-30,19,1
85,1990-07-08,92,18
86,1990-08-07,61,19
87,1990-12-13,51,19
88,1991-08-09,47,7
89,1991-08-23,38,8
90,1992-04-10,77,20
91,1992-04-28,42,9
92,1992-10-16,67,11
93,1992-12-19,25,12
94,1992-12-23,27,10
95,1993-01-15,62,5
96,1993-03-13,54,6
97,1993-04-14,32,9
98,1993-04-18,19,9
99,1993-07-24,3,16
100,1993-09-23,16,19
101,1994-07-17,13,10
102,1994-08-10,44,14
103,1995-02-22,72,12
104,1995-02-24,62,7
105,1995-06-07,44,14
106,1995-10-03,22,3
107,1996-03-08,64,11
108,1996-05-11,81,18
109,1996-06-01,1,17
110,1996-10-29,40,7
111,1997-03-22,52,16
112,1997-04-04,69,11
113,1997-10-05,41,17
114,1997-11-26,40,7
115,1998-01-09,71,17
116,1998-05-02,16,17
117,1998-09-27,34,17
118,1998-10-12,19,18
119,1999-03-08,87,9
120,1999-04-08,6,1
121,1999-06-16,76,6
122,1999-06-24,65,20
123,1999-07-30,48,4
124,2000-02-25,31,17
125,2000-06-30,83,9
126,2001-01-14,55,14
127,2001-01-18,98,6
128,2001-03-11,74,5
129,2001-04-21,86,3
130,2001-06-12,53,3
131,2001-06-16,10,1
132,2001-07-03,32,1
133,2001-08-12,15,5
134,2001-10-02,78,8
135,2001-12-16,76,16
136,2002-05-02,55,6
137,2002-09-09,15,3
138,2003-08-21,64,10
139,2003-11-28,66,16
140,2003-12-28,75,3
141,2004-02-21,46,3
142,2004-02-23,82,10
143,2004-08-31,24,20
144,2004-10-26,43,11
145,2004-12-30,37,6
146,2005-06-05,19,14
147,2005-07-17,5,5
148,2005-09-11,87,2
149,2005-09-27,34,11
150,2006-02-04,80,17
151,2006-03-11,53,8
152,2006-07-28,56,5
153,2006-08-25,41,12
154,2006-10-18,68,20
155,2007-01-16,18,4
156,2007-01-28,63,9
157,2007-02-22,38,19
158,2007-03-04,10,8
159,2007-04-10,53,13
160,2007-05-15,72,10
161,2007-06-12,17,10
162,2007-08-01,66,3
163,2007-09-19,96,11
164,2007-12-12,55,10
165,2008-02-02,58,20
166,2008-02-12,14,18
167,2008-05-24,40,6
168,2008-12-09,93,2
169,2009-01-14,86,3
170,2009-02-23,39,15
171,2009-04-16,47,3
172,2009-05-19,45,3
173,2009-07-28,83,7
174,2010-06-04,40,20
175,2010-06-23,20,19
